eta,min_child_weight,max_depth,colsample_bytree,subsample,iteration,alpha
0.3,6,4,0.8,0.6000000000000001,73,0
0.3,5,5,0.6000000000000001,0.8000000000000002,7,1
0.3,6,8,0.8,0.8000000000000002,10,0
0.3,5,7,0.6000000000000001,0.8000000000000002,10,1
0.3,7,3,0.6000000000000001,0.8000000000000002,48,5
0.3,3,6,0.8,0.4,18,0
0.3,7,7,0.8,0.6000000000000001,11,0
0.3,2,3,0.8,0.6000000000000001,69,0
0.3,7,8,0.4,0.8000000000000002,95,0
0.3,7,6,0.6000000000000001,0.4,7,75
0.3,1,3,0.8,0.8000000000000002,41,0
0.3,7,3,0.8,0.8000000000000002,99,0
0.3,6,8,0.8,0.6000000000000001,15,0
0.3,5,8,0.4,0.8000000000000002,7,1
0.3,3,3,0.6000000000000001,0.4,98,0
0.3,1,6,0.6000000000000001,0.6000000000000001,11,3
0.3,3,5,0.8,0.8000000000000002,75,0
0.3,6,7,0.6000000000000001,0.4,16,0
0.3,4,7,0.8,0.8000000000000002,32,0
0.3,6,3,0.8,0.6000000000000001,46,0
0.3,7,3,0.8,0.6000000000000001,52,1
0.3,5,8,0.6000000000000001,0.8000000000000002,54,0
0.3,3,3,0.6000000000000001,0.6000000000000001,46,0
0.3,3,6,0.8,0.6000000000000001,20,0
0.3,1,7,0.6000000000000001,0.6000000000000001,22,0
0.3,7,7,0.8,0.8000000000000002,63,0
0.3,5,4,0.6000000000000001,0.6000000000000001,76,0
0.3,4,3,0.6000000000000001,0.8000000000000002,7,3
0.3,7,3,0.8,0.6000000000000001,99,0
0.3,4,7,0.4,0.6000000000000001,17,0
0.3,5,3,0.8,0.4,98,0
0.3,3,3,0.8,0.6000000000000001,54,0
0.3,7,4,0.8,0.8000000000000002,70,0
0.3,2,5,0.6000000000000001,0.8000000000000002,77,0
0.3,7,3,0.8,0.6000000000000001,93,0
0.3,6,5,0.6000000000000001,0.4,16,0
0.3,2,8,0.8,0.8000000000000002,12,3
0.3,1,8,0.6000000000000001,0.8000000000000002,11,0
0.3,2,8,0.6000000000000001,0.6000000000000001,43,3
0.3,2,6,0.6000000000000001,0.4,10,10
0.3,7,5,0.6000000000000001,0.8000000000000002,99,0
0.3,7,8,0.6000000000000001,0.8000000000000002,5,3
0.3,1,4,0.6000000000000001,0.8000000000000002,73,0
0.3,4,7,0.6000000000000001,0.6000000000000001,9,0
0.3,1,4,0.8,0.4,69,0
0.3,1,3,0.4,0.8000000000000002,98,0
0.3,2,8,0.6000000000000001,0.6000000000000001,13,0
0.3,6,3,0.8,0.6000000000000001,99,0
0.3,2,5,0.6000000000000001,0.8000000000000002,16,100
0.3,6,4,0.6000000000000001,0.8000000000000002,97,0
0.3,5,3,0.8,0.6000000000000001,99,0
0.3,1,3,0.4,0.6000000000000001,94,0
0.3,7,3,0.6000000000000001,0.4,10,1
0.3,2,3,0.8,0.8000000000000002,15,100
0.3,6,7,0.4,0.8000000000000002,58,0
0.3,1,5,0.8,0.8000000000000002,55,0
0.3,3,4,0.6000000000000001,0.4,33,0
0.3,5,3,0.8,0.6000000000000001,98,0
0.3,5,3,0.8,0.8000000000000002,75,0
0.3,1,3,0.8,0.6000000000000001,9,3
0.3,4,3,0.6000000000000001,0.8000000000000002,22,0
0.3,6,4,0.8,0.6000000000000001,73,0
0.3,1,3,0.2,0.8000000000000002,74,3
0.3,6,5,0.8,0.4,87,0
0.3,4,3,0.8,0.8000000000000002,98,0
0.3,7,3,0.8,0.6000000000000001,20,0
0.3,1,3,0.2,0.8000000000000002,99,1
0.3,3,4,0.6000000000000001,0.4,97,0
0.3,4,6,0.6000000000000001,0.8000000000000002,11,0
0.3,3,5,0.8,0.6000000000000001,71,0
0.3,4,8,0.6000000000000001,0.8000000000000002,25,0
0.3,1,5,0.4,0.8000000000000002,16,0
0.3,5,8,0.2,0.8000000000000002,17,0
0.3,6,3,0.6000000000000001,0.8000000000000002,30,0
0.3,6,8,0.6000000000000001,0.8000000000000002,19,0
0.3,7,5,0.8,0.4,94,0
0.3,1,3,0.8,0.6000000000000001,51,0
0.3,3,3,0.8,0.6000000000000001,91,0
0.3,2,3,0.8,0.8000000000000002,30,0
0.3,4,4,0.8,0.8000000000000002,53,10
0.3,5,4,0.8,0.8000000000000002,71,0
0.3,3,8,0.8,0.6000000000000001,41,0
0.3,4,7,0.6000000000000001,0.8000000000000002,16,7
0.3,5,8,0.8,0.8000000000000002,17,5
0.3,7,7,0.8,0.6000000000000001,55,0
0.3,3,5,0.8,0.6000000000000001,19,0
0.3,2,5,0.8,0.8000000000000002,24,0
0.3,3,7,0.8,0.8000000000000002,37,0
0.3,5,5,0.8,0.8000000000000002,18,0
0.3,6,7,0.8,0.6000000000000001,12,100
0.3,4,8,0.8,0.8000000000000002,10,7
0.3,4,8,0.6000000000000001,0.8000000000000002,71,0
0.3,1,5,0.8,0.6000000000000001,42,0
0.3,4,8,0.6000000000000001,0.8000000000000002,13,0
0.3,2,8,0.4,0.8000000000000002,10,0
0.3,5,8,0.4,0.8000000000000002,15,7
0.3,3,5,0.6000000000000001,0.8000000000000002,99,0
0.3,2,6,0.8,0.8000000000000002,97,0
0.3,2,7,0.6000000000000001,0.4,10,75
0.3,7,3,0.8,0.4,24,0
